TABL. III. LUDNOŒÆ, RUCH NATURALNY ORAZ MIGRACJE LUDNOŒCI WED£UG POWIATÓW W 2024 R.;;;;;;;;;;;;;;;;;;;;;;;
                  POPULATION, VITAL STATISTICS AND MIGRATION OF POPULATION BY POWIATS IN 2024.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"Województwa 
Voivodships
Powiaty
Powiats";"Identyfikator terytorialny
Code";"Ludnoœæ
(stan w dniu 31.12)
Population
(as of 
December 31)";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony   
Deaths";;"Przyrost naturalny 
Natural increase";"Migracje wewnêtrzne 
Internal migration";;;"Migracje zagraniczne
International migration";;;"Ogólne saldo migracji
Total net migration";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony 
Deaths";"Przyrost naturalny
Natural increase";"Ogólne saldo migracji 
Total net migration";"Zgony niemowl¹t na 1000 urodzeñ ¿ywych
Infant deaths per 1000 of live births";;;
;;;;;"ogó³em 
total";"w tym niemowl¹t 
of which infant";;"nap³yw 
inflow";"odp³yw 
outflow";"saldo 
net";"imigracja 
immigra-tion";"emigracja 
emigra-tion";"saldo 
net";;;;;;;;;;
;;;;;;;;;;;;;;;"na 1000 ludnoœci    
per 1000 of population";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"POLSKA
POLAND";;37489087;135402;251782;408504;898;-156722;430262;430262;-;19515;10214;9301;9301;3,6;6,7;10,9;-4,2;0,2;3,6;;;
WOJ. DOLNOŒL¥SKIE;       ;2868242;10920;18194;32463;81;-14269;39057;35478;3579;1549;1130;419;3998;3,8;6,3;11,3;-5,0;1,4;4,5;;;
 boles³awiecki;0201;87255;314;518;936;2;-418;1191;1147;44;36;34;2;46;3,6;5,9;10,7;-4,8;0,5;3,9;;;
 dzier¿oniowski;0202;93863;250;466;1234;3;-768;846;941;-95;49;74;-25;-120;2,7;4,9;13,1;-8,1;-1,3;6,4;;;
 g³ogowski;0203;84387;318;507;915;1;-408;995;1190;-195;26;7;19;-176;3,8;6,0;10,8;-4,8;-2,1;2,0;;;
 górowski;0204;32054;96;200;426;-;-226;329;491;-162;9;2;7;-155;3,0;6,2;13,2;-7,0;-4,8;-;;;
 jaworski;0205;46822;124;226;558;1;-332;468;542;-74;8;2;6;-68;2,6;4,8;11,9;-7,1;-1,4;4,4;;;
 karkonoski;0206;59864;175;216;840;-;-624;932;752;180;38;63;-25;155;2,9;3,6;13,9;-10,4;2,6;-;;;
 kamiennogórski;0207;39875;90;197;519;1;-322;371;512;-141;19;11;8;-133;2,2;4,9;13,0;-8,0;-3,3;5,1;;;
 k³odzki;0208;145243;438;645;2092;4;-1447;1540;1709;-169;74;195;-121;-290;3,0;4,4;14,3;-9,9;-2,0;6,2;;;
 legnicki;0209;54967;150;352;663;-;-311;1000;762;238;24;54;-30;208;2,7;6,4;12,0;-5,6;3,8;-;;;
 lubañski;0210;50909;158;234;578;-;-344;578;709;-131;22;7;15;-116;3,1;4,6;11,3;-6,7;-2,3;-;;;
 lubiñski;0211;102376;369;618;1058;2;-440;1543;1614;-71;16;17;-1;-72;3,6;6,0;10,3;-4,3;-0,7;3,2;;;
 lwówecki;0212;42465;124;204;519;1;-315;545;608;-63;10;5;5;-58;2,9;4,8;12,2;-7,4;-1,4;4,9;;;
 milicki;0213;35396;124;230;448;1;-218;426;447;-21;12;-;12;-9;3,5;6,5;12,6;-6,1;-0,3;4,3;;;
 oleœnicki;0214;106706;359;705;1060;1;-355;2037;1543;494;56;22;34;528;3,4;6,6;9,9;-3,3;5,0;1,4;;;
 o³awski;0215;77387;296;569;764;2;-195;1099;955;144;24;7;17;161;3,8;7,3;9,9;-2,5;2,1;3,5;;;
 polkowicki;0216;60913;235;379;602;4;-223;930;957;-27;22;16;6;-21;3,8;6,2;9,9;-3,7;-0,3;10,6;;;
 strzeliñski;0217;41473;127;255;489;3;-234;471;535;-64;9;4;5;-59;3,1;6,1;11,8;-5,6;-1,4;11,8;;;
 œredzki;0218;59713;210;436;555;3;-119;1357;629;728;32;4;28;756;3,5;7,3;9,3;-2,0;12,7;6,9;;;
 œwidnicki;0219;149312;471;852;1849;3;-997;1844;1903;-59;102;143;-41;-100;3,1;5,7;12,3;-6,7;-0,7;3,5;;;
 trzebnicki;0220;87765;291;603;967;5;-364;1533;1033;500;33;3;30;530;3,3;6,9;11,0;-4,1;6,0;8,3;;;
 wa³brzyski;0221;52275;167;223;680;-;-457;764;685;79;11;5;6;85;3,2;4,2;12,9;-8,7;1,6;-;;;
 wo³owski;0222;45112;157;285;596;1;-311;620;631;-11;22;25;-3;-14;3,5;6,3;13,2;-6,9;-0,3;3,5;;;
 wroc³awski;0223;191110;725;1701;1291;9;410;5701;2208;3493;161;25;136;3629;3,8;9,0;6,8;2,2;19,1;5,3;;;
 z¹bkowicki;0224;59803;196;296;908;1;-612;652;754;-102;21;8;13;-89;3,3;4,9;15,1;-10,2;-1,5;3,4;;;
 zgorzelecki;0225;84337;271;378;1092;2;-714;1066;1154;-88;99;76;23;-65;3,2;4,5;12,9;-8,4;-0,8;5,3;;;
 z³otoryjski;0226;40213;126;195;432;1;-237;414;543;-129;12;14;-2;-131;3,1;4,8;10,7;-5,9;-3,2;5,1;;;
M.Jelenia Góra;0261;74194;266;333;1027;2;-694;591;834;-243;31;52;-21;-264;3,6;4,5;13,8;-9,3;-3,5;6,0;;;
M.Legnica;0262;90823;322;544;1134;5;-590;635;1128;-493;78;32;46;-447;3,5;6,0;12,4;-6,5;-4,9;9,2;;;
M.Wroc³aw;0264;672882;3674;5372;6672;23;-1300;7983;7631;352;461;183;278;630;5,5;8,0;9,9;-1,9;0,9;4,3;;;
M.Wa³brzych;0265;98748;297;455;1559;-;-1104;596;931;-335;32;40;-8;-343;3,0;4,6;15,7;-11,1;-3,4;-;;;
WOJ. KUJAWSKO-POMORSKIE;       ;1984479;6938;12110;21948;43;-9838;22260;24249;-1989;699;461;238;-1751;3,5;6,1;11,0;-4,9;-0,9;3,6;;;
 aleksandrowski;0401;53086;195;342;713;1;-371;743;753;-10;11;-;11;1;3,7;6,4;13,4;-7,0;0,0;2,9;;;
 brodnicki;0402;77345;263;557;788;1;-231;928;1103;-175;30;12;18;-157;3,4;7,2;10,2;-3,0;-2,0;1,8;;;
 bydgoski;0403;127915;469;742;1073;4;-331;2727;1429;1298;41;25;16;1314;3,7;5,8;8,4;-2,6;10,3;5,4;;;
 che³miñski;0404;48715;135;259;444;3;-185;402;579;-177;9;41;-32;-209;2,8;5,3;9,1;-3,8;-4,3;11,6;;;
 golubsko-dobrzyñski;0405;42998;134;296;449;1;-153;507;566;-59;8;4;4;-55;3,1;6,9;10,4;-3,5;-1,3;3,4;;;
 grudzi¹dzki;0406;39123;89;214;357;1;-143;594;490;104;10;27;-17;87;2,3;5,5;9,1;-3,7;2,2;4,7;;;
 inowroc³awski;0407;149000;488;804;1911;3;-1107;1452;1841;-389;34;20;14;-375;3,3;5,4;12,8;-7,4;-2,5;3,7;;;
 lipnowski;0408;62058;204;422;719;1;-297;703;924;-221;19;2;17;-204;3,3;6,8;11,5;-4,8;-3,3;2,4;;;
 mogileñski;0409;43209;139;256;457;1;-201;554;707;-153;10;8;2;-151;3,2;5,9;10,5;-4,6;-3,5;3,9;;;
 nakielski;0410;82435;279;478;823;1;-345;929;1053;-124;22;36;-14;-138;3,4;5,8;10,0;-4,2;-1,7;2,1;;;
 radziejowski;0411;37331;127;217;460;1;-243;336;553;-217;9;4;5;-212;3,4;5,8;12,2;-6,5;-5,6;4,6;;;
 rypiñski;0412;40798;118;244;462;1;-218;442;612;-170;5;2;3;-167;2,9;6,0;11,3;-5,3;-4,1;4,1;;;
 sêpoleñski;0413;38633;123;243;377;3;-134;458;543;-85;9;4;5;-80;3,2;6,3;9,7;-3,5;-2,1;12,3;;;
 œwiecki;0414;94358;300;592;1007;1;-415;1004;1103;-99;37;36;1;-98;3,2;6,3;10,6;-4,4;-1,0;1,7;;;
 toruñski;0415;114956;372;733;946;3;-213;2260;1397;863;42;8;34;897;3,2;6,4;8,3;-1,9;7,8;4,1;;;
 tucholski;0416;46763;159;341;463;2;-122;383;461;-78;10;15;-5;-83;3,4;7,3;9,9;-2,6;-1,8;5,9;;;
 w¹brzeski;0417;32155;90;212;328;1;-116;324;438;-114;5;17;-12;-126;2,8;6,6;10,2;-3,6;-3,9;4,7;;;
 w³oc³awski;0418;81591;290;497;1009;1;-512;1072;1128;-56;14;1;13;-43;3,5;6,1;12,3;-6,3;-0,5;2,0;;;
 ¿niñski;0419;67080;230;408;747;1;-339;823;900;-77;19;25;-6;-83;3,4;6,1;11,1;-5,0;-1,2;2,5;;;
M.Bydgoszcz;0461;324043;1302;2000;3843;6;-1843;2345;3507;-1162;167;96;71;-1091;4,0;6,2;11,8;-5,7;-3,4;3,0;;;
M.Grudzi¹dz;0462;87696;346;532;1178;1;-646;630;839;-209;40;16;24;-185;3,9;6,0;13,4;-7,3;-2,1;1,9;;;
M.Toruñ;0463;193717;781;1235;2105;3;-870;2016;2168;-152;135;61;74;-78;4,0;6,4;10,8;-4,5;-0,4;2,4;;;
M.W³oc³awek;0464;99474;305;486;1289;2;-803;628;1155;-527;13;1;12;-515;3,0;4,9;12,9;-8,0;-5,1;4,1;;;
WOJ. LUBELSKIE;;1996440;6549;12552;22393;69;-9841;21252;26446;-5194;703;332;371;-4823;3,3;6,3;11,2;-4,9;-2,4;5,5;;;
 bialski;0601;104108;365;733;1221;-;-488;1173;1435;-262;40;18;22;-240;3,5;7,0;11,7;-4,7;-2,3;-;;;
 bi³gorajski;0602;95219;248;544;1074;2;-530;758;1177;-419;28;14;14;-405;2,6;5,7;11,2;-5,5;-4,2;3,7;;;
 che³mski;0603;73117;286;410;841;2;-431;973;1127;-154;28;20;8;-146;3,9;5,6;11,4;-5,9;-2,0;4,9;;;
 hrubieszowski;0604;55911;154;248;744;5;-496;452;905;-453;13;9;4;-449;2,7;4,4;13,2;-8,8;-8,0;20,2;;;
 janowski;0605;42260;154;266;509;1;-243;263;550;-287;7;1;6;-281;3,6;6,3;12,0;-5,7;-6,6;3,8;;;
 krasnostawski;0606;58307;162;287;794;3;-507;520;795;-275;8;5;3;-272;2,8;4,9;13,5;-8,7;-4,6;10,5;;;
 kraœnicki;0607;88198;251;441;1033;3;-592;630;1046;-416;15;7;8;-408;2,8;5,0;11,6;-6,7;-4,6;6,8;;;
 lubartowski;0608;83385;246;552;967;-;-415;888;1141;-253;16;4;12;-241;2,9;6,6;11,6;-5,0;-2,9;-;;;
 lubelski;0609;165359;501;1095;1583;3;-488;3180;1817;1363;51;30;21;1384;3,0;6,6;9,6;-3,0;8,4;2,7;;;
 ³êczyñski;0610;55531;160;403;548;-;-145;768;802;-34;12;16;-4;-38;2,9;7,2;9,8;-2,6;-0,7;-;;;
 ³ukowski;0611;100230;355;831;1042;4;-211;776;1272;-496;18;1;17;-479;3,5;8,3;10,4;-2,1;-4,8;4,8;;;
 opolski;0612;55078;154;305;677;2;-372;493;732;-239;7;6;1;-238;2,8;5,5;12,2;-6,7;-4,3;6,6;;;
 parczewski;0613;31832;106;182;360;-;-178;312;485;-173;8;14;-6;-179;3,3;5,7;11,2;-5,6;-5,6;-;;;
 pu³awski;0614;106181;290;587;1304;4;-717;1077;1271;-194;25;11;14;-180;2,7;5,5;12,2;-6,7;-1,7;6,8;;;
 radzyñski;0615;54531;199;355;611;3;-256;522;791;-269;9;3;6;-263;3,6;6,5;11,2;-4,7;-4,8;8,5;;;
 rycki;0616;50898;180;324;606;3;-282;427;823;-396;1;5;-4;-400;3,5;6,3;11,8;-5,5;-7,8;9,3;;;
 œwidnicki;0617;68991;225;425;844;2;-419;956;829;127;41;37;4;131;3,3;6,1;12,2;-6,1;1,9;4,7;;;
 tomaszowski;0618;76155;241;400;856;5;-456;712;1202;-490;28;26;2;-488;3,2;5,2;11,2;-6,0;-6,4;12,5;;;
 w³odawski;0619;34989;120;196;459;1;-263;454;600;-146;7;6;1;-145;3,4;5,6;13,0;-7,5;-4,1;5,1;;;
 zamojski;0620;100017;271;531;1200;8;-669;1112;1226;-114;31;7;24;-90;2,7;5,3;12,0;-6,7;-0,9;15,1;;;
M.Bia³a Podlaska;0661;53888;156;376;522;-;-146;433;841;-408;32;2;30;-378;2,9;6,9;9,6;-2,7;-7,0;-;;;
M.Che³m;0662;56434;159;279;607;3;-328;427;850;-423;29;23;6;-417;2,8;4,9;10,7;-5,8;-7,3;10,8;;;
M.Lublin;0663;328305;1417;2469;3404;15;-935;3424;3849;-425;232;64;168;-257;4,3;7,5;10,4;-2,8;-0,8;6,1;;;
M.Zamoœæ;0664;57516;149;313;587;-;-274;522;880;-358;17;3;14;-344;2,6;5,4;10,1;-4,7;-5,9;-;;;
WOJ. LUBUSKIE;;969819;3400;5850;10663;11;-4813;10875;11909;-1034;630;349;281;-753;3,5;6,0;11,0;-5,0;-0,8;1,9;;;
 gorzowski;0801;74079;216;456;734;-;-278;1404;830;574;36;14;22;596;2,9;6,2;9,9;-3,7;8,0;-;;;
 kroœnieñski;0802;52187;159;295;597;-;-302;557;701;-144;23;29;-6;-150;3,0;5,6;11,4;-5,8;-2,9;-;;;
 miêdzyrzecki;0803;54439;188;321;663;-;-342;590;696;-106;16;18;-2;-108;3,4;5,9;12,1;-6,3;-2,0;-;;;
 nowosolski;0804;81809;259;521;936;2;-415;1070;1121;-51;45;28;17;-34;3,2;6,4;11,4;-5,1;-0,4;3,8;;;
 s³ubicki;0805;45679;182;261;455;-;-194;588;581;7;65;33;32;39;4,0;5,7;9,9;-4,2;0,9;-;;;
 strzelecko-drezdenecki;0806;46204;129;277;530;1;-253;472;622;-150;19;24;-5;-155;2,8;6,0;11,4;-5,4;-3,3;3,6;;;
 sulêciñski;0807;33191;91;188;424;1;-236;421;451;-30;7;1;6;-24;2,7;5,6;12,7;-7,1;-0,7;5,3;;;
 œwiebodziñski;0808;53609;185;389;544;1;-155;557;717;-160;49;14;35;-125;3,4;7,2;10,1;-2,9;-2,3;2,6;;;
 zielonogórski;0809;74754;248;473;783;2;-310;1050;994;56;32;14;18;74;3,3;6,3;10,4;-4,1;1,0;4,2;;;
 ¿agañski;0810;72933;250;362;825;1;-463;783;1053;-270;25;57;-32;-302;3,4;4,9;11,3;-6,3;-4,1;2,8;;;
 ¿arski;0811;90364;299;515;1077;-;-562;887;1140;-253;22;24;-2;-255;3,3;5,7;11,9;-6,2;-2,8;-;;;
 wschowski;0812;37002;130;213;394;-;-181;343;458;-115;8;1;7;-108;3,5;5,7;10,6;-4,9;-2,9;-;;;
